,Risk,group
315,4.136434421109331,2.0
316,4.770230808754694,2.0
317,4.221901062471026,2.0
318,4.606604313839705,2.0
319,5.077920702154969,2.0
320,3.876897836248961,2.0
321,2.850125564726237,1.0
322,4.785129908047957,2.0
323,4.7482702187662085,2.0
324,4.379221388846482,2.0
325,1.7817089974415483,1.0
326,5.500482251676987,3.0
327,5.574532222514822,3.0
328,3.0854745509808006,1.0
329,4.325958034276365,2.0
330,2.8232830116007057,1.0
331,2.5713799208544716,1.0
332,2.5830972100362044,1.0
333,1.8110257955319147,1.0
334,2.7602610229474664,1.0
335,4.0049151591317775,2.0
336,4.022583137828806,2.0
337,2.4233817836519904,1.0
338,3.7824540415666483,2.0
339,4.583313131245589,2.0
340,3.7829688728147137,2.0
341,3.288115249510746,1.0
342,3.706703866737665,2.0
343,2.6550489482022686,1.0
344,2.3058687244702454,1.0
345,2.3966523338396732,1.0
346,3.601590094995067,2.0
347,2.2708826782362155,1.0
348,4.664858906362644,2.0
349,3.6452160143136543,2.0
350,3.8172446372104054,2.0
351,3.9642627907155745,2.0
352,2.19373262464508,1.0
353,1.5926493979973275,1.0
354,5.254877949301489,3.0
355,3.4726659203626236,1.0
356,2.9482293236369372,1.0
357,2.283873992717506,1.0
358,5.302119159119362,3.0
359,4.374863332792254,2.0
360,4.219652454990331,2.0
361,3.4843565877028664,1.0
362,2.798314065412946,1.0
363,3.6463995104457307,2.0
364,2.5407869248860284,1.0
365,3.932322489484071,2.0
366,5.035131106576065,2.0
367,4.721582240682741,2.0
368,3.052746581235774,1.0
369,5.228854093354205,3.0
370,4.687000562219065,2.0
371,4.8059675180865815,2.0
372,6.010688373517579,3.0
373,1.9228463373849902,1.0
374,4.774050481650976,2.0
375,5.394715826198263,3.0
376,2.3551442270322416,1.0
377,2.7849013879996862,1.0
378,2.5718829637157463,1.0
379,3.074251339359651,1.0
380,4.306173503273636,2.0
381,4.205797751079204,2.0
382,2.3063707163457163,1.0
383,5.252404332863491,3.0
384,2.3158220702587036,1.0
385,2.894190818008847,1.0
386,1.768083940348692,1.0
387,4.409796075275516,2.0
388,2.9337124949033777,1.0
389,4.148567095633788,2.0
390,4.362839161915465,2.0
391,2.6483335816220825,1.0
392,4.746263849590783,2.0
393,3.471843474377043,1.0
394,1.847540733932236,1.0
395,4.006142136186816,2.0
396,3.544947232836777,2.0
397,4.748235420996653,2.0
398,4.300872567902305,2.0
399,1.7635428155476476,1.0
400,2.909813224870174,1.0
401,4.9764046677472065,2.0
402,2.729853015645398,1.0
403,4.287139663257368,2.0
404,4.607654956027756,2.0
405,4.0184451055100725,2.0
406,1.6881810532534822,1.0
407,5.122682128449433,2.0
408,4.986492233198451,2.0
409,5.077726356324925,2.0
410,3.7048258384822916,2.0
411,2.461320972240288,1.0
412,2.0927704725270666,1.0
413,2.5171990906234605,1.0
414,1.805637360441188,1.0
415,3.6731306035363387,2.0
416,5.329714221584261,3.0
417,5.2284441096742995,3.0
418,1.6461883705986522,1.0
419,3.2150490361023047,1.0
420,4.493791901060063,2.0
421,2.9040864149412555,1.0
422,4.611619867382878,2.0
423,3.041289251232459,1.0
424,2.6545337058239697,1.0
425,2.9489094028786003,1.0
426,3.1751724795135323,1.0
427,3.2644540581312733,1.0
428,3.732445673947047,2.0
429,2.5468236281824232,1.0
430,5.26002639027104,3.0
431,2.206667984376544,1.0
432,3.4686008001125814,1.0
433,3.295502809667011,1.0
434,5.326710851370714,3.0
435,4.5248828245217965,2.0
436,4.174914642216787,2.0
437,2.9828816411363555,1.0
438,5.358920219272947,3.0
439,3.039628277054842,1.0
440,3.299584454878272,1.0
441,2.99931798891544,1.0
442,4.2826509248290545,2.0
443,2.565276715704471,1.0
444,4.5726045827732,2.0
445,4.354845556803575,2.0
446,2.0663638143266394,1.0
447,3.822022990650611,2.0
448,2.587706187446979,1.0
449,4.117913216358679,2.0
450,4.24839593359953,2.0
451,3.3862733326877947,1.0
452,3.5757886308600786,2.0
453,4.105145128459075,2.0
454,5.616271837195526,3.0
455,5.7983990454123715,3.0
456,4.9736605036562915,2.0
457,3.532135595768827,2.0
458,1.7735411392494922,1.0
459,5.175473793237848,2.0
460,2.9380814336893435,1.0
461,2.3816653104973495,1.0
462,4.596715820229554,2.0
463,4.329280269561175,2.0
464,3.4128023597205934,1.0
465,5.114906945756894,2.0
466,2.2800019782690213,1.0
467,3.6037637375074953,2.0
468,2.1033198726931626,1.0
469,2.225852616298573,1.0
470,3.1372288661239565,1.0
471,4.555630306221886,2.0
472,3.712473324650787,2.0
473,3.728162863755377,2.0
474,2.386383421880945,1.0
475,2.6446142465108142,1.0
476,5.587779882018821,3.0
477,4.899777443815493,2.0
478,2.101699273737662,1.0
479,2.1247998235621544,1.0
480,2.799946432427485,1.0
481,3.6514378625179686,2.0
482,2.12422965755167,1.0
483,3.7578991025541453,2.0
484,3.509302013408786,2.0
485,2.9765172813993717,1.0
486,2.3843674288461973,1.0
487,2.6221824041919772,1.0
488,3.8217983639402173,2.0
489,4.666547830365154,2.0
490,3.0243136905551853,1.0
491,4.853442727918165,2.0
492,3.4583342374783044,1.0
493,3.209970054026624,1.0
494,2.258261178688709,1.0
495,5.198165725205321,2.0
496,2.2745050302446144,1.0
497,3.803342723791969,2.0
498,4.665220520754229,2.0
499,5.171254545496486,2.0
500,2.398117005668236,1.0
501,4.4742714257477525,2.0
502,4.6412911787772035,2.0
503,3.346252528128153,1.0
504,3.1509363169862077,1.0
505,1.7024657488436774,1.0
506,3.1585942895672696,1.0
507,4.63825249169924,2.0
508,3.5369611861585404,2.0
509,2.9621597824352177,1.0
510,5.093403409811397,2.0
511,2.667853573054019,1.0
512,2.7252682537730215,1.0
513,4.576377499175285,2.0
514,4.94556840101659,2.0
515,5.1017371153214555,2.0
516,2.6174877417869085,1.0
517,3.2666699016381955,1.0
518,3.573590172844755,2.0
519,4.037469487667081,2.0
520,3.8196991917569068,2.0
521,4.2494715720216965,2.0
522,3.2051283470100844,1.0
523,3.244598376242082,1.0
524,4.528314343771671,2.0
525,2.755894512815051,1.0
526,3.090804697630325,1.0
527,4.882705153044904,2.0
528,1.7365498656727807,1.0
529,5.0860604021525715,2.0
530,4.710951604479262,2.0
531,3.428324027830722,1.0
532,5.214649051840275,3.0
533,2.509098684059345,1.0
534,3.9022914570258487,2.0
535,4.047203382316793,2.0
536,1.7691119229665464,1.0
537,4.508936533188123,2.0
538,1.3368791296622937,1.0
539,1.6675368178149672,1.0
540,4.342150191956625,2.0
541,4.694135851067582,2.0
542,3.4969740133193583,1.0
543,4.7396955261497045,2.0
544,2.6119108461284872,1.0
545,4.740346013028068,2.0
